,id,Star_name,Distance,Mass,Radius,Gravity
1,1,Sirius,8.6,2.1,1.71,196.9717996
4,4,Arcturus,37,1.1,26,0.446295973
7,7,Rigel,860,23,78.9,1.013329785
10,11,Hadar,390,10.5,8.6,38.93761757
14,15,Antares,600,12,680,0.007117712
17,18,Fomalhaut,25,1.9,1.8,160.8368539
20,22,Adhara,430,12.5,14,17.49165571
23,25,Gacrux,88,1.5,84,0.058305519
25,27,Elnath,130,5,4.2,77.74069202
27,31,Alnair,101,4,3.4,94.90282403
30,34,Dubhe,120,4.25,30,1.295159929
32,37,Sargas,270,5.7,26,2.312624586
34,39,Avior,630,9,130,0.1460605
37,42,Atria,390,7,92,0.22682941
39,44,Peacock,180,5.9,4.8,70.23385645
42,47,Polaris,430,5.4,39,0.973736668
44,49,Mintaka,1200,24,16.5,24.1779977
46,51,Almaaz,653,15,140,0.209899868
49,54,Delta Pavonis,19.92,0.991,1.22,182.6126975
53,65,61 Cygni,11.41,0.7,0.665,434.1419255
56,70,Mira,300,1.2,370,0.002404112
60,82,Proxima Centauri,4.25,0.12,0.15,1462.768861
64,94,2MASS J0523-1403,40.3,0.07,0.086,2595.841171
68,5,2MASS J00274197+0503417,236,31,1.44,4100.281638
72,10,2MASS 0036+1821,28.6,42,0.94,13036.78676
76,15,2MASS J00584253-0651239 [de],96,29,1.43,3889.581731
79,19,2MASSI J0117474-340325 [de],163,20,1.62,2090.14755
82,25,SDSS J020742.48+000056.2 [de],111,47,0.97,13700.34073
84,27,2MASS J02340093-6442068,155,20,1.62,2090.14755
87,30,LP 771-21,53,78,1.08,18341.04475
91,35,DEN 0255-4700,16.2,80,0.97,23319.72889
94,38,2MASS J03231002-4631237,192,23,1.66,2289.225836
98,42,2MASS J03341218-4953322,27,73,1.04,18511.13978
101,45,Teide 1,380,55,3.78,1055.737793
105,51,2MASS J04285096-2253227 [de],85,80,1.09,18467.74928
109,56,2MASS J04433764+0002040,82,22,1.78,1904.406499
113,60,2MASS J05012406-0010452 [de],64,21,1.38,3024.39214
117,66,LSR 0602+3910 [de],34.6,28,1.41,3862.751633
120,71,2MASS J06411840-4322329 [de],65,67,1.01,18013.95336
124,76,2MASSI J0727182+171001 [de],29.6,41,0.94,12726.38708
128,81,2MASS J07522390+1612157,60,2.01,68,0.119221673
132,87,LHS 2021,55,88,1.15,18250.04628
136,91,2MASS J08533619-0329321,27.6,77,1.07,18445.91268
140,96,2MASS J09490860-1545485 [de],59,49,0.96,14582.45325
144,102,2MASSW J1036530-344138 [de],53,49,0.97,14283.33395
148,106,Luhman 16A,6.516,40,1.01,10754.59902
151,109,Cha 110913-773444,163,8,1.8,677.2078061
154,113,TWA 26,137,30,2.2,1700.015464
157,119,2MASS J12074836-3900043,217,17,1.71,1594.533615
160,125,TWA 29,262,2,25,0.877661317
164,129,2MASS J13204427+0409045,101,67,1.01,18013.95336
168,133,ULAS J141623.94+134836.3,29.7,32,0.96,9523.234773
171,136,LHS 2924,38.5,76,1.06,18551.49188
175,140,CFBDSIR 1458+10A,104,11.1,1.5,1353.061197
178,143,2MASS 1503+2525,20.7,44,0.94,13657.58613
182,147,TVLM 868-110639,53,79,1.08,18576.18635
186,152,2MASS J15462718-3325111 [de],37,44,0.94,13657.58613
190,156,SDSSp J162414.37+002915.6 [de],36,43,0.94,13347.18644
193,159,WISEPA J164715.59+563208.2,28,41,0.94,12726.38708
197,164,2MASS J18283572-4849046,39,45,0.95,13675.47065
201,168,2MASS J20004841-7523070,105,25,1.88,1939.99803
205,173,PSO J318.5−22,80,6.5,1.53,761.5658719
208,176,2MASS J21481628+4003593,26.3,55,0.99,15391.0865
212,181,2MASS J22282889-4310262,35,42,0.94,13036.78676
216,185,2MASS J23225299-6151275,148,17,1.59,1844.300362
220,229,WISE 0458+6434A,35.9,15,4.2,233.2220761
